grid_cell,province,olap
1489,Hebei,5518555334.11133
1560,Hebei,5608417548.32504
1561,Beijing,4597758391.10719
1562,Hebei,3392132207.8568
1632,Hebei,3815129098.44465
1633,Beijing,5673506876.89375
1634,Tianjin,2986773342.06367
1704,Hebei,6029168073.02287
1705,Hebei,5815552759.3203
1635,Hebei,5813360402.41942
1706,Tianjin,5713186664.5062
1707,Hebei,2700256350.50517
1777,Hebei,6152469554.61466
1778,Hebei,4114359607.55388
1346,Inner Mongolia,3732268261.88938
1347,Inner Mongolia,4678309342.88605
1415,Hebei,2811782928.70427
1416,Inner Mongolia,4392199846.40917
1417,Inner Mongolia,2857956407.51234
1418,Hebei,5383579928.82789
1419,Hebei,3194909586.09825
1486,Inner Mongolia,4793282898.46459
1487,Hebei,5601478345.56684
1488,Hebei,5690838014.83051
1490,Hebei,5730424225.34385
1491,Hebei,5111846866.06692
1492,Inner Mongolia,2017598603.60273
1558,Inner Mongolia,4130971071.23051
1559,Hebei,4756855722.16006
1563,Hebei,5868137930.87042
1564,Hebei,4186300444.94794
1565,Liaoning,5559928387.20835
1630,Shanxi,5743996654.76155
1631,Hebei,4773647782.90432
1636,Hebei,5592445907.88446
1637,Hebei,916604490.307101
1702,Shanxi,5364449139.07185
1703,Hebei,4375353340.95668
1708,Hebei,2160026791.36124
1774,Shanxi,3100423348.56314
1775,Hebei,6164912449.91866
1776,Hebei,6179409955.97569
1779,Hebei,153861474.65281
1846,Shanxi,5542547682.6254
1847,Hebei,6239234110.45605
1848,Hebei,6300532261.81635
1849,Hebei,5414838380.80796
1850,Shandong,4047295002.20782
1851,Shandong,5646246940.3066
1918,Shanxi,4275332816.67497
1919,Hebei,6406393585.30309
1920,Hebei,5769807261.1085
1921,Shandong,6036975635.48988
1990,Shanxi,3232865912.99536
1991,Hebei,4860728071.6884
1992,Shandong,3564108873.12232
1557,Inner Mongolia,5312052343.74068
1628,Inner Mongolia,4039800943.87024
1629,Shanxi,5801571459.81403
1699,Shaanxi,3350929508.01806
1700,Shanxi,5999355106.57734
1701,Shanxi,6022425944.3322
1771,Shanxi,4078829793.12967
1772,Shanxi,6132718005.34209
1773,Shanxi,6141576021.37826
1843,Shanxi,5127350114.6221
1844,Shanxi,6251987491.03894
1845,Shanxi,6261195886.53511
1914,Shaanxi,6081571571.56839
1915,Shanxi,5945629305.73937
1916,Shanxi,6371617970.85552
1917,Shanxi,6381184731.45777
1986,Shaanxi,6263609120.93688
1987,Shanxi,6481530357.68179
1988,Shanxi,6491504383.8313
1989,Shanxi,6501437239.77932
2058,Shaanxi,6483717457.55941
2059,Shanxi,6254194361.62192
2060,Shanxi,6605713121.22395
2061,Shanxi,6414857253.85009
2062,Henan,4549434130.77931
2130,Shaanxi,5247951863.69325
2131,Shanxi,5114445595.90035
