species,year,n_cells,baseline,annual_temp,temp_native_anom
Abroscopus albogularis,2002,562,17.4008522033691,17.9545860290527,0.553733825683594
Accipiter gularis,2002,697,2.65403866767883,3.64507389068604,0.991035223007202
Accipiter soloensis,2002,942,14.6539878845215,15.328010559082,0.674022674560547
Accipiter trivirgatus,2002,174,20.6737785339356,21.2326622009277,0.558883666992188
Accipiter virgatus,2002,846,15.1853485107422,15.754189491272,0.568840980529785
Acridotheres cristatellus,2002,1081,16.3418083190918,17.0137805938721,0.671972274780273
Acridotheres tristis,2002,284,13.0754556655884,13.8461532592773,0.770697593688965
Acrocephalus agricola,2002,581,6.84485864639282,7.96727466583252,1.1224160194397
Acrocephalus bistrigiceps,2002,1280,6.68613195419312,7.68011808395386,0.993986129760742
Acrocephalus concinens,2002,766,13.3816928863525,14.2777824401855,0.896089553833008
Acrocephalus orientalis,2002,1446,7.09092283248901,8.0799560546875,0.989033222198486
Acrocephalus tangorum,2002,171,4.11876344680786,5.0256929397583,0.906929492950439
Aegithalos bonvaloti,2002,106,7.6470046043396,8.18225479125977,0.535250186920166
Aegithalos caudatus,2002,754,2.25801730155945,3.29231476783752,1.03429746627808
Aegithalos concinnus,2002,953,15.9409122467041,16.6235904693604,0.68267822265625
Aegithalos fuliginosus,2002,138,9.91040992736816,10.6136093139648,0.70319938659668
Aerodramus brevirostris,2002,603,13.6866846084595,14.2482891082764,0.561604499816895
Aethopyga christinae,2002,23,24.3484706878662,25.0178184509277,0.669347763061523
Aethopyga gouldiae,2002,956,11.0757522583008,11.6141023635864,0.538350105285645
Agropsar sturninus,2002,1131,4.8556547164917,5.86539363861084,1.00973892211914
Aix galericulata,2002,422,3.75636386871338,4.66652011871338,0.91015625
Alauda gulgula,2002,1994,9.42479801177979,10.0370016098022,0.612203598022461
Alaudala cheleensis,2002,2390,5.02381753921509,6.00930547714233,0.985487937927246
Alcedo hercules,2002,141,19.7236499786377,20.2788982391357,0.555248260498047
Alcippe morrisonia,2002,975,16.4001846313477,17.0430088043213,0.642824172973633
Amaurornis phoenicurus,2002,1130,16.0147972106934,16.6808338165283,0.666036605834961
Anastomus oscitans,2002,315,16.1227264404297,16.6564464569092,0.533720016479492
Anser anser,2002,936,2.59998202323914,3.75334882736206,1.15336680412292
Anser fabalis,2002,359,-0.232263207435608,0.794507324695587,1.0267705321312
Anser indicus,2002,441,0.791138470172882,1.51485157012939,0.723713099956513
Anthus godlewskii,2002,157,1.22606432437897,2.454585313797,1.22852098941803
Anthus gustavi,2002,66,2.94458818435669,3.63182163238525,0.687233448028565
Anthus richardi,2002,2788,8.37556171417236,9.31915187835693,0.94359016418457
Anthus roseatus,2002,1911,3.55629634857178,4.22324275970459,0.666946411132813
Anthus trivialis,2002,126,1.94549369812012,3.33834218978882,1.3928484916687
Aquila fasciata,2002,300,19.3407211303711,19.9579544067383,0.617233276367188
Aquila heliaca,2002,183,0.794729292392731,2.11473989486694,1.32001060247421
Ardea intermedia,2002,806,16.9554290771484,17.5900478363037,0.634618759155273
Ardea purpurea,2002,1542,13.773362159729,14.5469884872437,0.773626327514648
Ardenna pacifica,2002,90,21.6581630706787,22.3565540313721,0.698390960693359
Artamus fuscus,2002,275,20.3747119903564,20.9406681060791,0.565956115722656
Asio flammeus,2002,498,0.647581040859222,1.86840760707855,1.22082656621933
Athene noctua,2002,3280,3.76510715484619,4.64775085449219,0.882643699645996
Aviceda jerdoni,2002,64,20.8588600158691,21.3932228088379,0.53436279296875
Aviceda leuphotes,2002,784,15.98646068573,16.5656852722168,0.579224586486816
Aythya fuligula,2002,613,0.912497222423553,2.00570797920227,1.09321075677872
Aythya nyroca,2002,348,3.64787364006043,4.9411678314209,1.29329419136047
Bombycilla japonica,2002,93,-2.70986938476563,-1.54825794696808,1.16161143779755
Branta canadensis,2002,19,7.6150541305542,8.67730045318604,1.06224632263184
Bubo nipalensis,2002,362,11.4124135971069,11.9313497543335,0.518936157226563
Bucanetes mongolicus,2002,731,5.15714693069458,6.34167909622192,1.18453216552734
Butastur indicus,2002,481,4.17492294311523,5.10851192474365,0.933588981628418
Cacomantis merulinus,2002,411,19.2106418609619,19.7815933227539,0.570951461791992
Calandrella brachydactyla,2002,400,5.59619903564453,6.85524845123291,1.25904941558838
Calliope obscura,2002,74,8.60147857666016,9.34766864776611,0.746190071105957
Caprimulgus macrurus,2002,78,21.0046348571777,21.5715408325195,0.566905975341797
Carpodacus roborowskii,2002,101,-4.03297138214111,-3.65562272071838,0.37734866142273
Carpodacus vinaceus,2002,535,13.1980676651001,13.8672151565552,0.669147491455078
Cecropis daurica,2002,2623,9.16229629516602,9.94800281524658,0.785706520080566
Centropus bengalensis,2002,607,18.6197357177734,19.2231502532959,0.603414535522461
Cephalopyrus flammiceps,2002,98,11.278489112854,11.8654909133911,0.587001800537109
Certhia familiaris,2002,1518,4.10910701751709,5.16514253616333,1.05603551864624
Certhia himalayana,2002,210,9.42436599731445,10.0641460418701,0.639780044555664
Certhia tianquanensis,2002,46,8.03892517089844,8.62850284576416,0.589577674865723
Ceryle rudis,2002,762,17.6190166473389,18.239221572876,0.620204925537109
Cettia brunnifrons,2002,409,9.04499340057373,9.53040504455566,0.485411643981934
Cettia castaneocoronata,2002,502,12.0057926177979,12.4890937805176,0.483301162719727
Chalcophaps indica,2002,288,20.4205284118652,20.9932136535645,0.572685241699219
Charadrius atrifrons,2002,1360,-0.0825315490365028,0.586652874946594,0.669184423983097
Charadrius dealbatus,2002,82,22.3581027984619,23.0277671813965,0.66966438293457
Charadrius placidus,2002,860,6.81603288650513,7.7667760848999,0.950743198394775
Charadrius veredus,2002,147,1.37415206432343,2.61161804199219,1.23746597766876
Chlidonias leucopterus,2002,1115,3.61852622032166,4.71240663528442,1.09388041496277
Chlidonias niger,2002,65,2.81934809684753,4.22961711883545,1.41026902198792
Chloris ambigua,2002,297,13.6298961639404,14.1922798156738,0.562383651733398
Chloris sinica,2002,2177,10.1043548583984,10.9257755279541,0.821420669555664
Chrysolophus pictus,2002,410,12.3430995941162,12.9433631896973,0.600263595581055
Ciconia boyciana,2002,141,3.75946140289307,4.66603469848633,0.906573295593262
Ciconia nigra,2002,2186,5.71650981903076,6.77940130233765,1.06289148330688
Circaetus gallicus,2002,228,6.13989019393921,7.46112203598023,1.32123184204102
Circus macrourus,2002,154,2.22476196289063,3.56965160369873,1.34488964080811
Circus spilonotus,2002,631,1.43180251121521,2.46295833587647,1.03115582466125
Cisticola exilis,2002,521,18.3237705230713,18.8983612060547,0.574590682983398
Cisticola juncidis,2002,1233,15.9261827468872,16.6376190185547,0.711436271667481
Clamator coromandus,2002,1069,16.5760765075684,17.2713184356689,0.695241928100586
Clanga clanga,2002,567,1.82915771007538,2.81813597679138,0.988978266716003
Columba oenas,2002,147,1.89062237739563,3.17054390907288,1.27992153167725
Copsychus saularis,2002,1011,16.2842559814453,16.9198760986328,0.6356201171875
Coracias garrulus,2002,83,1.71752464771271,3.12779593467712,1.41027128696442
Coturnicops exquisitus,2002,412,0.116188421845436,1.12559401988983,1.0094055980444
Crex crex,2002,149,1.68861591815948,3.06533169746399,1.3767157793045
Crossoptilon mantchuricum,2002,64,7.99328136444092,9.11262321472168,1.11934185028076
Curruca curruca,2002,961,4.71596050262451,5.76389169692993,1.04793119430542
Cyanistes cyanus,2002,658,0.813704073429108,1.92123866081238,1.10753458738327
Cyanoderma pyrrhops,2002,3,11.5056676864624,11.8817110061646,0.376043319702148
Cygnus cygnus,2002,538,1.97667515277863,3.19544792175293,1.2187727689743
Cygnus olor,2002,250,2.81658434867859,3.68142199516296,0.864837646484375
Cyornis glaucicomans,2002,344,15.2155599594116,15.8140916824341,0.598531723022461
Cyornis hainanus,2002,199,21.3823966979981,21.9432468414307,0.560850143432617
Cyornis rubeculoides,2002,42,16.7205429077148,17.076587677002,0.356044769287109
Delichon dasypus,2002,1040,7.09097099304199,7.6234302520752,0.532459259033203
Dendrocitta formosae,2002,933,17.1049575805664,17.7259464263916,0.620988845825195
Dendrocopos hyperythrus,2002,413,8.27587223052979,8.78043556213379,0.504563331604004
Dendrocygna javanica,2002,684,18.0148448944092,18.6509265899658,0.636081695556641
Dicaeum cruentatum,2002,519,18.7793598175049,19.3337726593018,0.554412841796875
Dicaeum ignipectus,2002,1035,15.6106557846069,16.2052154541016,0.594559669494629
Dicaeum minullum,2002,835,14.767373085022,15.3072681427002,0.539895057678223
Dicrurus annectens,2002,164,19.7741985321045,20.3043231964111,0.530124664306641
Dicrurus hottentottus,2002,1277,14.8924055099487,15.5908517837524,0.698446273803711
Dicrurus remifer,2002,201,17.4981899261475,18.0317573547363,0.533567428588867
Egretta eulophotes,2002,19,9.63973045349121,10.4988889694214,0.859158515930176
Egretta garzetta,2002,1670,12.7392654418945,13.4056949615479,0.66642951965332
Elachura formosa,2002,245,15.8722858428955,16.406530380249,0.534244537353516
Elanus caeruleus,2002,97,20.0274238586426,20.5632419586182,0.535818099975586
Emberiza buchanani,2002,164,0.845942556858063,2.22293877601624,1.37699621915817
Emberiza citrinella,2002,45,1.24440145492554,2.63986849784851,1.39546704292297
Emberiza elegans,2002,1059,8.75524711608887,9.53565788269043,0.780410766601563
Emberiza godlewskii,2002,2040,4.47789907455444,5.29928064346314,0.821381568908691
Emberiza hortulana,2002,93,3.53125858306885,4.90991544723511,1.37865686416626
Emberiza leucocephalos,2002,716,0.0190331656485796,1.03572463989258,1.016691474244
Emberiza pallasi,2002,141,-2.66091752052307,-1.48578095436096,1.17513656616211
Emberiza pusilla,2002,208,2.53732514381409,3.59115266799927,1.05382752418518
Emberiza rustica,2002,3,-4.41251945495605,-3.05989265441895,1.35262680053711
Emberiza siemsseni,2002,79,10.0293006896973,10.8027973175049,0.773496627807617
Emberiza yessoensis,2002,46,2.82388091087341,3.6618435382843,0.837962627410889
Enicurus leschenaulti,2002,1155,14.9616861343384,15.5954008102417,0.63371467590332
Enicurus maculatus,2002,490,17.4008846282959,17.9539737701416,0.553089141845703
Enicurus schistaceus,2002,598,17.1719207763672,17.7161235809326,0.54420280456543
Erpornis zantholeuca,2002,529,17.9002780914307,18.4521980285645,0.551919937133789
Erythrogenys hypoleucos,2002,50,19.9029903411865,20.3602447509766,0.457254409790039
Eudynamys scolopaceus,2002,1083,16.3084487915039,16.9822998046875,0.673851013183594
Eumyias thalassinus,2002,737,14.3080358505249,14.8904829025269,0.582447052001953
Falco cherrug,2002,2075,2.70873928070068,3.58665442466736,0.877915143966675
Falco severus,2002,359,17.7754745483398,18.322151184082,0.546676635742188
Ficedula albicilla,2002,89,-2.38578534126282,-1.21865379810333,1.16713154315948
Ficedula elisae,2002,152,7.47436904907227,8.5298433303833,1.05547428131104
Ficedula erithacus,2002,610,7.43311548233032,7.90236330032349,0.469247817993164
Ficedula hyperythra,2002,472,16.0033531188965,16.5312938690186,0.52794075012207
Ficedula mugimaki,2002,678,2.3159077167511,3.30829858779907,0.992390871047974
Ficedula strophiata,2002,621,13.0205202102661,13.6250791549683,0.604558944702148
Ficedula superciliaris,2002,331,5.17182588577271,5.5981936454773,0.42636775970459
Ficedula tricolor,2002,560,11.7169189453125,12.2504386901855,0.533519744873047
Fringilla coelebs,2002,6,-3.64196300506592,-2.29036068916321,1.35160231590271
Fringilla montifringilla,2002,23,-2.54210829734802,-1.1758953332901,1.36621296405792
Galerida cristata,2002,1619,6.56866264343262,7.5945143699646,1.02585172653198
Gallicrex cinerea,2002,1658,13.8156538009644,14.5701684951782,0.754514694213867
Garrulax canorus,2002,757,17.0413055419922,17.6889572143555,0.647651672363281
Garrulax maesi,2002,302,17.0664443969727,17.5870819091797,0.520637512207031
Garrulax monileger,2002,463,19.1697063446045,19.712646484375,0.542940139770508
Gavia arctica,2002,163,2.2326762676239,3.6053683757782,1.3726921081543
Gelochelidon nilotica,2002,554,7.68231201171875,8.74095439910889,1.05864238739014
Geokichla citrina,2002,505,17.6489105224609,18.2496013641357,0.600690841674805
Glaucidium cuculoides,2002,1012,16.7492389678955,17.3915214538574,0.642282485961914
Gorsachius melanolophus,2002,105,21.6351413726807,22.2198925018311,0.584751129150391
Gracupica nigricollis,2002,510,17.9595203399658,18.5192775726318,0.559757232666016
Grandala coelicolor,2002,621,0.189435198903084,0.567386329174042,0.377951130270958
Grus japonensis,2002,76,2.61315250396729,3.41434216499329,0.801189661026001
Grus monacha,2002,21,-0.20156466960907,0.798234581947327,0.999799251556396
Grus nigricollis,2002,407,-2.81143999099731,-2.27617835998535,0.535261631011963
Gypaetus barbatus,2002,1655,0.90612781047821,1.62012040615082,0.713992595672607
Gyps himalayensis,2002,1392,1.23260295391083,1.88965928554535,0.657056331634522
Halcyon coromanda,2002,131,9.25574684143066,9.9284725189209,0.672725677490234
Halcyon pileata,2002,1245,13.7531538009644,14.5339097976685,0.780755996704102
Halcyon smyrnensis,2002,182,21.6887283325195,22.2852439880371,0.596515655517578
Haliaeetus leucoryphus,2002,34,14.0554161071777,14.3100299835205,0.254613876342773
Harpactes wardi,2002,78,8.85727214813232,9.26137065887451,0.404098510742188
Helopsaltes certhiola,2002,1617,4.47727870941162,5.57181406021118,1.09453535079956
Helopsaltes pryeri,2002,166,6.73794746398926,7.72233867645264,0.984391212463379
Hemiprocne coronata,2002,103,16.7578430175781,17.2670459747314,0.50920295715332
Hemitesia pallidipes,2002,155,16.8176536560059,17.3167324066162,0.499078750610352
Hemixos castanonotus,2002,373,19.1924209594727,19.7374706268311,0.545049667358398
Heterophasia desgodinsi,2002,283,15.513069152832,16.0577030181885,0.544633865356445
Heteroxenicus stellatus,2002,104,10.5467109680176,11.0729827880859,0.526271820068359
Hieraaetus pennatus,2002,137,-1.33781504631042,-0.0481289848685265,1.2896860614419
Hierococcyx nisicolor,2002,639,17.0438480377197,17.6172618865967,0.573413848876953
Hirundapus caudacutus,2002,1023,3.56975531578064,4.33622121810913,0.766465902328491
Hirundo rustica,2002,4116,6.53853988647461,7.37440061569214,0.835860729217529
Histrionicus histrionicus,2002,83,2.51139283180237,3.25184655189514,0.740453720092773
Hydrocoloeus minutus,2002,48,8.87618541717529,10.2990970611572,1.42291164398193
Hydrophasianus chirurgus,2002,865,17.0730152130127,17.6851253509522,0.612110137939453
Hydroprogne caspia,2002,298,13.7203493118286,14.6502866744995,0.929937362670898
Hypothymis azurea,2002,513,17.3541965484619,17.9043464660645,0.550149917602539
Hypsipetes leucocephalus,2002,1126,15.1517972946167,15.7542562484741,0.602458953857422
Ianthocincla lunulata,2002,135,10.4669580459595,11.2076959609985,0.740737915039063
Ibidorhyncha struthersii,2002,1706,2.63580417633057,3.31499266624451,0.67918848991394
