province,ssp,horizon,mech,ml,ssp_lab
Anhui,ssp245,2030,1.05863791203794,0.674830848107904,SSP2-4.5
Anhui,ssp245,2050,1.48939074754454,1.52079751559267,SSP2-4.5
Anhui,ssp245,2080,2.53533215573083,1.08054279056326,SSP2-4.5
Anhui,ssp585,2030,1.18706268602867,0.583759290564348,SSP5-8.5
Anhui,ssp585,2050,2.48810771168883,0.92318291666824,SSP5-8.5
Anhui,ssp585,2080,16.6778167655535,0.933924988414192,SSP5-8.5
Beijing,ssp245,2030,1.12128969720929,1.01554097036569,SSP2-4.5
Beijing,ssp245,2050,1.70668901307471,1.02674620087782,SSP2-4.5
Beijing,ssp245,2080,3.28607150437574,1.01132934963971,SSP2-4.5
Beijing,ssp585,2030,1.25831298933747,0.95135166979162,SSP5-8.5
Beijing,ssp585,2050,2.81423587800132,1.02118207745662,SSP5-8.5
Beijing,ssp585,2080,16.8729696778412,1.03362477777409,SSP5-8.5
Chongqing,ssp245,2030,0.573552846415052,0.309471505307876,SSP2-4.5
Chongqing,ssp245,2050,0.860193189698661,1.54879332010357,SSP2-4.5
Chongqing,ssp245,2080,1.58204789503407,1.00479343102937,SSP2-4.5
Chongqing,ssp585,2030,0.665764392847182,0.462878805843207,SSP5-8.5
Chongqing,ssp585,2050,1.5130087622286,0.967654123166073,SSP5-8.5
Chongqing,ssp585,2080,9.80715751068367,0.96721306409391,SSP5-8.5
Fujian,ssp245,2030,0.480831670095622,0.784724524039459,SSP2-4.5
Fujian,ssp245,2050,0.800588363968215,1.02640277291727,SSP2-4.5
Fujian,ssp245,2080,2.19347995265757,1.04648621336525,SSP2-4.5
Fujian,ssp585,2030,0.548137396069024,1.71216846214828,SSP5-8.5
Fujian,ssp585,2050,1.75006889712812,1.00342098826748,SSP5-8.5
Fujian,ssp585,2080,23.1007804313332,1.0129358754809,SSP5-8.5
Gansu,ssp245,2030,1.36129552005619,0.409008330486701,SSP2-4.5
Gansu,ssp245,2050,1.76748470544285,1.02118688862162,SSP2-4.5
Gansu,ssp245,2080,2.4006819690752,1.20273420924477,SSP2-4.5
Gansu,ssp585,2030,1.50651947843083,0.44734793959297,SSP5-8.5
Gansu,ssp585,2050,2.37776463703075,1.19340601372763,SSP5-8.5
Gansu,ssp585,2080,6.81384014098361,1.24822170106241,SSP5-8.5
Guangdong,ssp245,2030,0.202510183020125,0.874041217669646,SSP2-4.5
Guangdong,ssp245,2050,0.320937478344218,0.208562293088598,SSP2-4.5
Guangdong,ssp245,2080,0.80222015362097,1.76455449594447,SSP2-4.5
Guangdong,ssp585,2030,0.239661010084704,1.55273467964517,SSP5-8.5
Guangdong,ssp585,2050,0.695317305574973,1.87047950665824,SSP5-8.5
Guangdong,ssp585,2080,9.34446867202385,1.05565578080076,SSP5-8.5
Guangxi,ssp245,2030,1.05425332647113,0.33666877560885,SSP2-4.5
Guangxi,ssp245,2050,1.81863808949823,1.8793753000714,SSP2-4.5
Guangxi,ssp245,2080,4.88403447730656,1.07044620467784,SSP2-4.5
Guangxi,ssp585,2030,1.23685228366321,0.670599834542842,SSP5-8.5
Guangxi,ssp585,2050,4.08537656334866,1.09121932499578,SSP5-8.5
Guangxi,ssp585,2080,34.3135318690856,1.10935662580173,SSP5-8.5
Guizhou,ssp245,2030,0.929987624232363,0.273991863113584,SSP2-4.5
Guizhou,ssp245,2050,1.52552660503255,0.50872883133609,SSP2-4.5
Guizhou,ssp245,2080,3.5294853013555,0.988772581409563,SSP2-4.5
Guizhou,ssp585,2030,1.1129678160165,0.249815592298131,SSP5-8.5
Guizhou,ssp585,2050,3.16524511369183,1.00988217710749,SSP5-8.5
Guizhou,ssp585,2080,25.7764760646865,1.04785712444436,SSP5-8.5
Hainan,ssp245,2030,1.24697523148918,0.194930210553967,SSP2-4.5
Hainan,ssp245,2050,2.32039751756209,1.75163689539722,SSP2-4.5
Hainan,ssp245,2080,7.93016277128842,1.03973646522592,SSP2-4.5
Hainan,ssp585,2030,1.47911754260878,0.292040965557882,SSP5-8.5
Hainan,ssp585,2050,6.31574575846969,1.08360694496579,SSP5-8.5
Hainan,ssp585,2080,56.5630450937302,1.02363985814477,SSP5-8.5
Hebei,ssp245,2030,0.40155848129986,0.300343506006637,SSP2-4.5
