threshold,term,hr,lo,hi,p,term_lab,thr_lab
50,effort,1.79215203289124,1.64209251493968,1.95592445600679,4.47774484414831e-39,Survey effort,50
100,effort,1.79780112687291,1.64692133086307,1.96250350955849,2.68186192904077e-39,Survey effort,100
200,effort,1.80674936767816,1.65485353071571,1.97258743267365,8.49201374693593e-40,Survey effort,200
50,change,1.39676372155388,1.24650029645092,1.56514113907863,8.69733962106736e-09,Climate change (15-yr),50
100,change,1.41102375288404,1.25617200935622,1.58496449242116,6.42093096319093e-09,Climate change (15-yr),100
200,change,1.40579850304371,1.24902777722468,1.58224618154703,1.6419413008681e-08,Climate change (15-yr),200
50,var,0.845681313568549,0.776520543392737,0.921001884888079,0.000117887284509364,Annual climate variability,50
100,var,0.845576237776262,0.776094753629047,0.921278195154001,0.000125938591918359,Annual climate variability,100
200,var,0.84479218953644,0.775221368262512,0.920606516692534,0.000119779759618124,Annual climate variability,200
50,int_change,0.873305568184163,0.798235871510516,0.955435157252786,0.00313558158397473,Climate change x effort,50
100,int_change,0.874718072791262,0.799404206603633,0.957127446349596,0.00356939339332035,Climate change x effort,100
200,int_change,0.874187198466883,0.798921930766139,0.956543097058974,0.00341987186409307,Climate change x effort,200
