ssp,horizon,unit,name,delta
ssp245,2030,province,Beijing,1.71264231204987
ssp245,2030,province,Tianjin,1.69992613792419
ssp245,2030,province,Hebei,1.68674182891846
ssp245,2030,province,Shanxi,1.68196272850037
ssp245,2030,province,Inner Mongolia,2.09872579574585
ssp245,2030,province,Liaoning,1.94963312149048
ssp245,2030,province,Jilin,2.13219141960144
ssp245,2030,province,Heilongjiang,2.21314454078674
ssp245,2030,province,Shanghai,1.53777849674225
ssp245,2030,province,Jiangsu,1.52856063842773
ssp245,2030,province,Zhejiang,1.59974753856659
ssp245,2030,province,Anhui,1.57495141029358
ssp245,2030,province,Fujian,1.48435628414154
ssp245,2030,province,Jiangxi,1.54844260215759
ssp245,2030,province,Shandong,1.57701969146729
ssp245,2030,province,Henan,1.54990565776825
ssp245,2030,province,Hubei,1.59391534328461
ssp245,2030,province,Hunan,1.56227719783783
ssp245,2030,province,Guangdong,1.35237336158752
ssp245,2030,province,Guangxi,1.45189249515533
ssp245,2030,province,Hainan,1.23821759223938
ssp245,2030,province,Chongqing,1.62858986854553
ssp245,2030,province,Sichuan,1.62967014312744
ssp245,2030,province,Guizhou,1.5328471660614
ssp245,2030,province,Yunnan,1.33850169181824
ssp245,2030,province,Tibet,1.67897081375122
ssp245,2030,province,Shaanxi,1.72631967067719
ssp245,2030,province,Gansu,1.85411012172699
ssp245,2030,province,Qinghai,1.70967638492584
ssp245,2030,province,Ningxia,1.87850153446198
ssp245,2030,province,Xinjiang,1.9599586725235
ssp245,2030,province,Taiwan,1.26548302173615
ssp245,2030,province,Hong Kong,1.2747437953949
ssp245,2030,province,Macau,
ssp245,2030,species,Abroscopus albogularis,1.48126590251923
ssp245,2030,species,Accipiter gularis,2.13477158546448
ssp245,2030,species,Accipiter soloensis,1.65328192710876
ssp245,2030,species,Accipiter trivirgatus,1.28067529201508
ssp245,2030,species,Accipiter virgatus,1.47122347354889
ssp245,2030,species,Acridotheres cristatellus,1.50982880592346
ssp245,2030,species,Acridotheres tristis,1.4415420293808
ssp245,2030,species,Acrocephalus agricola,1.99821829795837
ssp245,2030,species,Acrocephalus bistrigiceps,1.92312705516815
